Rank,Team,Conf,W-L,Pyth,AdjO,AdjD,AdjT,Luck,Pyth,OppO,OppD,Pyth
153,Robert,Morris,NEC,18-14,.5121,101.1,178,100.7,131,64.7,265,+.014
154,Hawaii,WAC,19-13,.5101,98.7,227,98.4,95,68.7,67,+.044,68
155,St.,Bonaventure,A10,16-15,.5083,104.6,106,104.3,228,64.1,286,+.029
156,Jacksonville,ASun,20-12,.5064,97.4,251,97.2,69,68.3,83,+.033,97
157,Green,Bay,Horz,14-18,.5017,102.0,160,101.9,164,66.1,199,+.010
158,Pacific,BW,16-15,.5016,103.0,135,103.0,196,61.2,336,-.061,310
159,Nevada,WAC,13-19,.4994,102.4,150,102.4,179,68.2,86,-.050,297
160,SMU,CUSA,20-15,.4979,101.2,174,101.3,144,60.7,338,-.018,227
Strength,of,Schedule,NCSOS,,,,,,,,,
Rank,Team,Conf,W-L,Pyth,AdjO,AdjD,AdjT,Luck,Pyth,OppO,OppD,Pyth
161,Rice,CUSA,14-18,.4972,103.1,133,103.2,203,64.9,258,-.063,312
162,Oregon,St.,P10,11-20,.4928,100.7,187,100.9,136,70.2,37,-.044
163,Quinnipiac,NEC,22-10,.4918,102.4,149,102.7,189,67.8,106,+.004,168
164,Western,Michigan,MAC,21-13,.4886,102.1,157,102.5,181,68.2,89,+.043
165,George,Washington,A10,17-14,.4806,99.4,216,100.0,122,64.7,268,+.072
166,Ball,St.,MAC,19-13,.4804,102.0,159,102.7,188,64.5,272,+.028
167,Evansville,MVC,16-16,.4795,100.4,192,101.1,140,67.2,139,+.044,67
168,American,Pat,22-9,.4763,102.7,146,103.5,213,61.5,330,+.129,5
169,Boston,University,16,AE,21-14,.4706,101.1,179,102.2,173,63.8,297
170,Cal,Poly,BW,15-15,.4701,96.2,271,97.2,68,60.4,342,-.001
171,North,Dakota,St.,Sum,14-15,.4698,102.2,153,103.3,205,68.2,93
172,La,Salle,A10,15-18,.4696,104.2,113,105.3,244,72.9,7,+.010
173,San,Jose,St.,WAC,17-16,.4583,103.6,122,105.1,243,67.2,137
174,Fresno,St.,WAC,14-17,.4571,100.5,190,102.1,169,66.7,165,-.033
175,Sam,Houston,St.,Slnd,18-13,.4551,101.3,170,102.9,194,66.0,208
176,Weber,St.,BSky,18-14,.4480,101.2,176,103.0,198,65.4,239,+.009
177,TCU,MWC,11-22,.4477,99.6,208,101.5,151,67.0,150,-.076,324
178,IPFW,Sum,18-12,.4472,103.7,120,105.6,247,66.4,178,+.025,119
179,Western,Carolina,SC,18-15,.4462,96.6,263,98.4,97,69.8,43,+.042
180,North,Texas,SB,22-11,.4451,106.9,75,109.0,305,68.0,99,+.044
181,Penn,Ivy,13-15,.4429,100.0,200,102.0,168,64.4,278,+.006,162
182,Bradley,MVC,12-20,.4400,100.1,197,102.2,174,66.7,167,-.034,266
183,Yale,Ivy,15-13,.4360,98.1,237,100.3,128,66.7,166,+.032,99
184,Lehigh,Pat,16-15,.4348,101.0,181,103.4,207,71.4,18,-.030,254
185,Northeastern,CAA,11-20,.4336,107.9,68,110.5,316,64.1,287,+.023,124
186,Middle,Tennessee,SB,16-16,.4333,95.5,275,97.8,77,67.0,152,-.071
187,Cornell,Ivy,10-18,.4321,103.3,127,105.8,249,67.0,149,-.071,320
188,Canisius,MAAC,15-15,.4306,101.2,173,103.7,215,65.7,221,-.032,263
189,Loyola,MD,MAAC,15-15,.4301,101.3,172,103.8,217,66.2,191,-.024
190,Saint,Joseph's,A10,11-22,.4300,104.8,105,107.4,275,63.7,303,+.019
191,Miami,OH,MAC,16-17,.4299,103.6,121,106.2,258,64.3,281,+.118
192,Massachusetts,A10,15-15,.4278,95.9,273,98.3,93,68.1,96,+.043,74
